Name,TID,TID_Description,Icon,GroupName,GroupPriority,ShowDurationInTopSpot,ShowOnPlayerBadge
Pioneer,TID_DISTINCTION_PIONEER,TID_DISTINCTION_PIONEER_DESCR,AlphaBadge01,,,,
Leaderboard_Top1,TID_DISTINCTION_TOP1,TID_DISTINCTION_TOP1_DESCR,Distinction_Admiral,leaderboards,2,1,1
Leaderboard_Top1_10days,TID_DISTINCTION_TOP1_10D,TID_DISTINCTION_TOP1_10D_DESCR,Distinction_Governer,leaderboards,1,1,1
Leaderboard_Top1_30days,TID_DISTINCTION_TOP1_30D,TID_DISTINCTION_TOP1_30D_DESCR,Distinction_Emperor,leaderboards,0,1,1
Leaderboard_Top10,TID_DISTINCTION_TOP10,TID_DISTINCTION_TOP10_DESCR,Distinction_Director,leaderboards,3,,1
Leaderboard_Top50,TID_DISTINCTION_TOP50,TID_DISTINCTION_TOP50_DESCR,Distinction_Commander,leaderboards,4,,1
BlueStarTop1,TID_DISTINCTION_BS_TOP1,TID_DISTINCTION_BS_TOP1_DESCR,Distinction_BlueStar1,bsldb,0,,1
BlueStarTop10,TID_DISTINCTION_BS_TOP10,TID_DISTINCTION_BS_TOP10_DESCR,Distinction_BlueStar10,bsldb,1,,1
BlueStarTop50,TID_DISTINCTION_BS_TOP50,TID_DISTINCTION_BS_TOP50_DESCR,Distinction_BlueStar50,bsldb,2,,1
WhiteStarTop1,TID_DISTINCTION_WS_TOP1,TID_DISTINCTION_WS_TOP1_DESCR,Distinction_WhiteStar1,wsldb,0,,1
WhiteStarTop10,TID_DISTINCTION_WS_TOP10,TID_DISTINCTION_WS_TOP10_DESCR,Distinction_WhiteStar10,wsldb,1,,1
WhiteStarTop50,TID_DISTINCTION_WS_TOP50,TID_DISTINCTION_WS_TOP50_DESCR,Distinction_WhiteStar50,wsldb,2,,1
