"TID_INTRO_MESSAGE_TITLE","WILLKOMMEN ZU HADES STAR"
"TID_INTRO_MESSAGE","Wir sammeln Geräteinformationen und andere Daten, die wir für einen reibungslosen Spielbetrieb und individuellen Kundendienst benötigen. Weitere Informationen dazu findest du in unseren <a name={0}>Datenschutzrichtlinien</a>.\n\nDu musst mindestens 13 Jahre alt sein, um spielen zu dürfen.\n\nMit AKZEPTIEREN nimmst du unsere Nutzungsbedingungen an.\n\n<a name={1}>Nutzungsbedingungen anzeigen</a>"
"TID_INTRO_MSG_ACCEPT","AKZEPTIEREN"
"TID_DAY_ABBREVIATION","d"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Account wird abgerufen …"
"TID_LOADINGSCREEN_LOADING_STAR","Sternensystem wird abgerufen …"
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Sternensystem wird geladen …"
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Möchtest du zu deinem verbundenen Account wechseln? (<color>{0}</color>, Stufe <color>{1}</color>). Jeglicher Fortschritt des aktuellen Spiels geht dadurch verloren."
"TID_CORP_LEADER_DESCR","Erster Offizier"
"TID_CORP_COLEADER_DESCR","Offizier"
"TID_CORP_ELDER_DESCR","Hochrangiges Mitglied"
"TID_CORP_MEMBER_DESCR","Mitglied"
"TID_YOUR_EMPIRE","Dein Imperium"
"TID_OK","OK"
"TID_RETRY","NOCHMAL VERSUCHEN"
"TID_RECONNECT","WIEDERVERBINDEN"
"TID_CANCEL","ABBRECHEN"
"TID_CONNECTION_ERROR","VERBINDUNGSFEHLER"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Server kann nicht erreicht werden. Bitte überprüfe deine Internetverbindung und versuche es nochmal."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Auf deinen Account kann nicht zugegriffen werden. Bitte wende dich an den Kundendienst."
"TID_CONNECTION_ERROR_OLD_VERSION","Für das Spiel ist eine neue Version erhältlich! Lade sie jetzt herunter, um die neuesten Features zu erhalten."
"TID_IOS_UPDATE_HINT","WICHTIG: Wenn du die neue Version noch nicht im App Store siehst, aktualisiere die Liste manuell unter „Updates“, indem du mehrfach nach unten scrollst."
"TID_CONNECTION_ERROR_NEW_VERSION","Falsche Version"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Neueste Version herunterladen"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Hades Star sollte in Kürze automatisch auf die neueste Version aktualisiert werden. Solltest du diese Nachricht weiterhin erhalten, überprüfe die Update-Einstellungen des Spiels und starte Steam erneut."
"TID_CONNECTION_ERROR_SERVER_ERROR","Interner Serverfehler. Bitte versuche es später nochmal."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Dein Account wurde gesperrt."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Du hast dich von einem anderen Gerät aus eingeloggt."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Die Server werden gerade stark belastet. Bitte versuche es später nochmal."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Authentifizierung mit Steam nicht möglich. Bitte starte das Spiel über Steam und prüfe deine Internetverbindung."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Kritischer Synchronisationsfehler. Das Spiel muss neu gestartet werden."
"TID_CONNECTION_ERROR_MAINTENANCE","Die Server werden gerade gewartet. Bitte versuche es in ein paar Minuten nochmal."
"TID_CONNECTION_LOST_INACTIVITY","Deine Verbindung wurde aufgrund von Inaktivität getrennt."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","Die Server werden in einigen Minuten wegen Wartungsarbeiten heruntergefahren."
"TID_LABEL_SERVER_MAINTENANCE","Serverwartung in\n{0}"
"TID_MAINTENANCE_TITLE","WARTUNG"
"TID_MAINTENANCE_INFO","Wir führen regelmäßig Serverwartungen durch, um das Spiel zu verbessern.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Weitere Informationen</a>"
"TID_ASTEROID_FIELD","Asteroidenfeld"
"TID_COLONIZATION_STARTING","Kolonisierung beginnt in {0}"
"TID_DISBAND_FLEET_CONFIRM","Möchtest du dieses Schiff wirklich zerstören? Dadurch erhöht sich deine Flottenkapazität."
"TID_STATUS_UPGRADING","Wird aufgewertet …"
"TID_STATUS_COLONIZING","Wird kolonisiert …"
"TID_DISTANCE","{0} AE"
"TID_CONFIRM_DLG_TITLE","BESTÄTIGEN"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Das Sternensystem konnte nicht geladen werden."
"TID_MSG_QUIT_GAME","Möchtest du das Spiel wirklich beenden?"
"TID_CMD_FAILED_TUTORIAL","Das ist in diesem Abschnitt des Tutorials nicht möglich."
"TID_MSG_CANNOT_JUMP_SHIP","Sprung fehlgeschlagen"
"TID_SHARE_MESSAGE_LABEL","KONTAKTIEREN"
"TID_SHARE_BUTTON_SUBMIT","BESTÄTIGEN"
"TID_SHARE_BUTTON_CANCEL","ABBRECHEN"
"TID_SHARE_VIEW_DEFAULT_MSG","Schau dir das mal an!"
"TID_SHARE_VIEW_DESCR","Wähle einen Ausschnitt des Sternensystems, den du mit deinem Konzern teilen möchtest."
"TID_BACK_BUTTON","Zurück"
"TID_FINISH_REPAIR_CONFIRM","Reparatur des Schiffes jetzt abschließen?"
"TID_PLAYER_JOIN_RED_STAR","{0} ist zu diesem roten Riesen gesprungen"
"TID_MAINTENANCE_MESSAGE","Wir bitten für den letzten Serverausfall um Entschuldigung. Wir haben deinem Account als Wiedergutmachung {0} Kristalle hinzugefügt. Danke für deine Geduld!\n\n– Dein Team von Hades Star"
"TID_FEATURE_DISABLED","Diese Funktion wurde vorübergehend deaktiviert"
"TID_PERSONAL_DATA_PREF","Persönliche Daten bearbeiten"
"TID_KEYBOARD_SHORTCUT","Hotkey: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Du musst weiter in das Sternensystem expandieren, bevor du die Station bauen kannst."
"TID_CMD_FAILED_GENERIC","Befehl fehlgeschlagen"
"TID_CMD_FAILED_PLAYER","Spielerbefehl fehlgeschlagen"
"TID_CMD_FAILED_SS","Sternensystembefehl fehlgeschlagen"
"TID_CMD_FAILED_RESOURCE_LIMIT","Nicht genügend Lagerkapazität. Werte deine Planeten auf, um das Lager zu vergrößern."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Server ist beschäftigt. Bitte versuche es gleich nochmal."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Du kannst nicht so viele Schlachtschiffe in dieses System springen lassen."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Sprungtor kann nicht benutzt werden"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Kapazität reicht für diese Waren nicht aus"
"TID_NOT_ENOUGH_CRYSTALS","Nicht genügend Kristalle"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Schiffe dürfen den Sichtbereich nicht verlassen."
"TID_CMD_ROUTE_EMPTY_SECTOR","Unentdeckter Weltraum kann nicht bereist werden."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Du kannst nicht so weit ins Sternensystem vordringen."
"TID_CMD_CANT_UPGRADE_PLANET","Dieser Planet kann nicht mehr aufgewertet werden."
"TIC_CMD_ALREADY_UPGRADING_PLANET","Planet wird bereits aufgewertet."
"TID_CMD_BUILDING_LIMIT_REACHED","Du kannst nicht mehr Stationen dieses Typs bauen."
"TID_SCANNER_REQUIRED","Du benötigst einen freien Kurzstreckenscanner in einem benachbarten Sektor."
"TID_SCANNER_ALREADY_BUSY","Dein Kurzstreckenscanner scannt bereits einen anderen Sektor."
"TID_MODULE_ON_COOLDOWN","Du musst zuerst die Abklingzeit des Moduls abwarten, bevor du es erneut aktivieren kannst."
"TID_MODULE_ALREADY_ACTIVATED","Dieses Modul ist bereits aktiv."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Das ist ein passives Modul, es kann nicht aktiviert werden."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Du musst warten, bis der Hub fertiggestellt wurde."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Beide Hubs müssen inaktiv sein, bevor eine Verbindung hergestellt werden kann."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Du musst mindestens zwei Hubs bauen, bevor du sie verbinden kannst."
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","Artefakte können nicht in den Außenposten anderer Spieler abgelegt werden."
"TID_CANNOT_EDIT_MODULES_ON_STAR","Du kannst die Module deiner Schiffe nicht außerhalb deines Heimatsterns austauschen"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Nur der Besitzer dieses Planeten kann diese Waren nutzen"
