"TID_INTRO_MESSAGE_TITLE","BIENVENUE DANS HADES' STAR"
"TID_INTRO_MESSAGE","Nous enregistrons des informations concernant votre appareil ainsi que des données nécessaires pour faire fonctionner notre jeu, dans le but de vous fournir un service personnalisé de qualité. Pour plus de détails, lisez notre <a name={0}>Politique de confidentialité</a>.\n\nVous devez avoir au moins 13 ans pour jouer à ce jeu.\n\nAppuyez sur ACCEPTER pour accepter nos conditions d'utilisation.\n\n<a name={1}>Voir les conditions d'utilisation</a>"
"TID_INTRO_MSG_ACCEPT","ACCEPTER"
"TID_DAY_ABBREVIATION"," j "
"TID_HOUR_ABBREVIATION"," h "
"TID_MINUTE_ABBREVIATION"," m "
"TID_SECOND_ABBREVIATION"," s "
"TID_LOADINGSCREEN_LOADING_PLAYER","Récupération du compte..."
"TID_LOADINGSCREEN_LOADING_STAR","Récupération du système stellaire..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Chargement du système stellaire..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Voulez-vous passer à votre compte connecté ? (<color>{0}</color>, niveau <color>{1}</color>). La progression de votre partie actuelle sera perdue."
"TID_CORP_LEADER_DESCR","Premier officier"
"TID_CORP_COLEADER_DESCR","Officier"
"TID_CORP_ELDER_DESCR","Membre senior"
"TID_CORP_MEMBER_DESCR","Membre"
"TID_YOUR_EMPIRE","Votre empire"
"TID_OK","OK"
"TID_RETRY","RÉESSAYER"
"TID_RECONNECT","RECONNECTER"
"TID_CANCEL","ANNULER"
"TID_CONNECTION_ERROR","ERREUR DE CONNEXION"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Impossible de contacter le serveur. Veuillez vérifier votre connexion internet et réessayer."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Impossible d'accéder à votre compte. Veuillez contacter le service client."
"TID_CONNECTION_ERROR_OLD_VERSION","Une nouvelle version du jeu est disponible ! Téléchargez-la pour profiter des dernières fonctionnalités."
"TID_IOS_UPDATE_HINT","IMPORTANT : si vous ne voyez pas la nouvelle version sur l'App Store, rendez-vous sur l'onglet mises à jour et rafraîchissez la liste manuellement en défilant plusieurs fois vers le bas."
"TID_CONNECTION_ERROR_NEW_VERSION","Version incorrecte"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Téléchargez la dernière version"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam devrait bientôt mettre automatiquement à jour Hades' Star à sa version la plus récente. Si vous continuez de recevoir ce message, veuillez vérifier les paramètres de mise à jour du jeu et relancer Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Erreur de serveur interne. Veuillez réessayer ultérieurement."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Votre compte a été banni."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Vous êtes connecté(e) depuis un autre appareil."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Nos serveurs sont surchargés. Veuillez réessayer ultérieurement."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Authentification avec Steam impossible. Veuillez utiliser Steam pour lancer le jeu et vous assurez que vous êtes connecté à Internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Erreur de synchro fatale. Le jeu doit redémarrer."
"TID_CONNECTION_ERROR_MAINTENANCE","Nos serveurs sont en cours de maintenance. Veuillez réessayer dans quelques minutes."
