"TID_INTRO_MESSAGE_TITLE","BENVENUTO A HADES' STAR"
"TID_INTRO_MESSAGE","Raccogliamo informazioni sul dispositivo e altri dati necessari al funzionamento del gioco e per fornirti supporto personalizzato. Per dettagli, leggi la nostra <a name={0}>Informativa sulla privacy</a>.\n\nDevi avere almeno 13 anni per giocare.\n\nPremi ACCETTA per accettare le nostre Condizioni di servizio.\n\n<a name={1}>Leggi le Condizioni di servizio</a>"
"TID_INTRO_MSG_ACCEPT","ACCETTA"
"TID_DAY_ABBREVIATION","g"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Recupero account in corso..."
"TID_LOADINGSCREEN_LOADING_STAR","Recupero sistema stellare in corso..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Caricamento sistema stellare in corso..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Vuoi passare all'account connesso? (<color>{0}</color>, livello <color>{1}</color>). I progressi di gioco attuali andranno persi."
"TID_CORP_LEADER_DESCR","Primo ufficiale"
"TID_CORP_COLEADER_DESCR","Ufficiale"
"TID_CORP_ELDER_DESCR","Veterano"
"TID_CORP_MEMBER_DESCR","Membro"
"TID_YOUR_EMPIRE","Il tuo impero"
"TID_OK","OK"
"TID_RETRY","RIPROVA"
"TID_RECONNECT","RICONNETTI"
"TID_CANCEL","ANNULLA"
"TID_CONNECTION_ERROR","ERRORE DI CONNESSIONE"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Impossibile connettersi al server. Controlla la connessione internet e riprova."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Impossibile accedere al tuo account. Contatta l'assistenza ai giocatori."
"TID_CONNECTION_ERROR_OLD_VERSION","È disponibile una nuova versione del gioco! Scaricala subito per ottenere le ultime funzionalità."
"TID_IOS_UPDATE_HINT","IMPORTANTE: Se non riesci a vedere la nuova versione nell'App Store, vai alla scheda Aggiornamenti e aggiorna la lista manualmente scorrendo verso il basso diverse volte."
"TID_CONNECTION_ERROR_NEW_VERSION","Versione non corretta"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Scarica l'ultima versione"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Presto Steam aggiornerà automaticamente l'ultima versione di Hades' Star. Se continui a ricevere questo messaggio, controlla le impostazioni dell'aggiornamento del gioco e riavvia Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Errore interno del server. Riprova più tardi."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Il tuo account è stato bloccato."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Hai effettuato l'accesso da un altro dispositivo."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Carico di lavoro dei server eccessivo. Riprova più tardi."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Impossibile autenticarsi con Steam. Avvia il gioco all'interno di Steam e assicurati di essere connesso a internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Errore irreversibile di sincronizzazione. È necessario riavviare il gioco."
"TID_CONNECTION_ERROR_MAINTENANCE","I server sono in manutenzione. Riprova fra qualche minuto."
"TID_CONNECTION_LOST_INACTIVITY","Sei stato disconnesso dal server a causa di inattività."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","Il server verrà chiuso fra pochi minuti per manutenzione."
"TID_LABEL_SERVER_MAINTENANCE","Manutenzione del server tra\n{0}"
"TID_MAINTENANCE_TITLE","MANUTENZIONE"
"TID_MAINTENANCE_INFO","Ci occupiamo regolarmente della manutenzione dei server per migliorare il gioco.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Ulteriori informazioni</a>"
"TID_ASTEROID_FIELD","Campo di asteroidi"
"TID_COLONIZATION_STARTING","Inizio colonizzazione su {0}"
"TID_DISBAND_FLEET_CONFIRM","Vuoi davvero distruggere questa nave? Così aumenterai la capacità della flotta."
"TID_STATUS_UPGRADING","Miglioramento in corso..."
"TID_STATUS_COLONIZING","Colonizzazione in corso..."
"TID_DISTANCE","{0} UA"
"TID_CONFIRM_DLG_TITLE","CONFERMA"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Caricamento sistema stellare non riuscito"
"TID_MSG_QUIT_GAME","Vuoi davvero uscire dal gioco?"
"TID_CMD_FAILED_TUTORIAL","Questa azione non è disponibile in questa fase del tutorial"
"TID_MSG_CANNOT_JUMP_SHIP","Salto non riuscito"
"TID_SHARE_MESSAGE_LABEL","MESSAGGIA"
"TID_SHARE_BUTTON_SUBMIT","INVIA"
"TID_SHARE_BUTTON_CANCEL","ANNULLA"
"TID_SHARE_VIEW_DEFAULT_MSG","Guarda qui!"
"TID_SHARE_VIEW_DESCR","Seleziona una panoramica del sistema stellare da condividere con la tua corporazione"
"TID_BACK_BUTTON","Indietro"
"TID_FINISH_REPAIR_CONFIRM","Terminare subito la riparazione nave?"
"TID_PLAYER_JOIN_RED_STAR","{0} si è unito alla stella rossa"
"TID_MAINTENANCE_MESSAGE","Ci scusiamo per il recente black-out del server. Abbiamo aggiunto {0} cristalli al tuo account come risarcimento. Grazie per la tua pazienza!\n\n- Il team di Hades' Star"
"TID_FEATURE_DISABLED","Questa funzione non è disponibile al momento"
"TID_PERSONAL_DATA_PREF","Gestisci Dati Personali"
"TID_KEYBOARD_SHORTCUT","Scelta rapida: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Per poter costruire questa stazione, devi prima espanderti ulteriormente nel tuo sistema stellare"
"TID_CMD_FAILED_GENERIC","Comando non riuscito"
