Name,Value
TicksPerSecond,20
TicksPerTurn,400
TicksPerCheckpoint,4
TicksPerDamageFrame,10
StartingPlayerPremiumCurrency,200
PremiumCurrencyTimeValue0,60
PremiumCurrencyTimeValue1,3600
PremiumCurrencyTimeValue2,86400
PremiumCurrencyTimeValue3,1209600
PremiumCurrencyToTimePrice0,1
PremiumCurrencyToTimePrice1,30
PremiumCurrencyToTimePrice2,300
PremiumCurrencyToTimePrice3,3000
CrystalCostForCredits_100,1
CrystalCostForCredits_1000,20
CrystalCostForCredits_10000,150
CrystalCostForCredits_100000,1000
CrystalCostForCredits_1000000,4000
CrystalCostForCredits_10000000,12000
CrystalCostForCredits_100000000,80000
CrystalCostForHydrogen_10,1
CrystalCostForHydrogen_100,15
CrystalCostForHydrogen_1000,80
CrystalCostForHydrogen_10000,400
CrystalCostForHydrogen_100000,2000
CrystalCostForHydrogen_1000000,10000
FleetDepartTimeInSeconds,9
FleetDepartTimeInSeconds_WS,120
StartingPlayerBCAmount,0
StartingPlayerFuelAmount,100
MaxPlayerNameLength,16
ColonizePlanetXP,0
MaxRecentPlayerNotifications,25
MaxPlayerNameChangesAllowed,2
MinAllianceNameLength,3
MaxAllianceNameLength,15
MaxAllianceDescriptionLength,800
MaxAllianceDiscordURLLength,64
NumRecommendedAlliances,50
MaxChatMessages,100
MaxChatLineLength,800
MaxShareViewMessageLength,100
DeliverTradeJobXPPer100BC,7
XPMultiplierForDiplomacyShipments,5
MinTradeJobXP,1
MaxTradeJobXP,40
PlanetCaptureTime,45
ClosestAllowedDistanceBetweenPlanets,4000
ClosestAllowedDistanceBetweenAsteroids,4000
ClosestAllowedDistanceBetweenCerberusBases,3000
MinDistanceBetweenBuildings,1500
MinDistanceBetweenBuildingAndPlanets,1600
MinDistanceBetweenBuildingsAndAsteroids,600
MinDistanceBetweenPlanetsAndAsteroids,2000
MinDistanceBetweenStarAndBuildings,1200
MinDistanceBetweenAsteroids,350
AlliancesUnlockLevel,0
ClosestAllowedDistanceBetweenRandomSites,3500
DynamicCSVUpdates,1
CompressCSVUpdates,1
DisbandFleetUnlockLevel,2
