Name,TID,TID_Description,UnlockType,UnlockAmount,PCReward,XPReward,GoogleID,Retired,SortOrder,PID1,PSNID,PSNIPC
Shipments,TID_ACHIEVEMENT_SHIPMENTS,TID_ACHIEVEMENT_SHIPMENTS_DESCR,NumberOfShipments,20,1,100,CgkItJiH6OEGEAIQAg,,10,1,1,
,,,,500,5,200,,,,2,2,
,,,,4000,20,500,,,,3,,
,,,,25000,50,1000,,,,4,3,
,,,,100000,100,10000,,,,5,,
UpgradePlanet,TID_ACHIEVEMENT_UPGRADEPLANET,TID_ACHIEVEMENT_UPGRADEPLANET_DESCR,UpgradePlanet,7,2,50,CgkItJiH6OEGEAIQAw,,30,6,,
,,,,12,5,200,,,,7,4,
,,,,20,20,500,,,,8,,
,,,,30,50,1000,,,,9,,
,,,,40,100,10000,,,,10,,
SectorsUnlocked,TID_ACHIEVEMENT_SECTORUNLOCKED,TID_ACHIEVEMENT_SECTORUNLOCKED_DESCR,SectorsUnlocked,4,2,50,CgkItJiH6OEGEAIQBA,,40,31,11,10
,,,,8,10,200,,,,32,,
,,,,15,20,500,,,,33,,
,,,,24,50,1000,,,,34,,
,,,,36,100,10000,,,,35,,
FleetSize,TID_ACHIEVEMENT_FLEETSIZE,TID_ACHIEVEMENT_FLEETSIZE_DESCR,FleetSize,5,1,50,CgkItJiH6OEGEAIQBQ,,50,11,,8
,,,,6,3,200,,,,12,,
,,,,8,5,500,,,,13,5,
,,,,11,10,1000,,,,14,,
,,,,14,20,10000,,,,15,,
CommonHydro,TID_ACHIEVEMENT_COMMONHYDRO,TID_ACHIEVEMENT_COMMONHYDRO_DESCR,CommonHydro,2000,1,50,CgkItJiH6OEGEAIQBg,,60,16,,
,,,,40000,3,200,,,,17,,
,,,,500000,5,500,,,,18,6,
,,,,2500000,10,1000,,,,19,,
,,,,10000000,20,10000,,,,20,,
NumberArtifacts,TID_ACHIEVEMENT_NUMBERARTIFACTS,TID_ACHIEVEMENT_NUMBERARTIFACTS_DESCR,NumberArtifacts,4,1,50,CgkItJiH6OEGEAIQBw,,70,21,,
,,,,80,5,200,,,,22,7,
,,,,500,10,500,,,,23,,
,,,,2000,25,1000,,,,24,,
,,,,5000,50,5000,,,,25,,
PlanetsColonized,TID_ACHIEVEMENT_PLANETSCOLONIZED,TID_ACHIEVEMENT_PLANETSCOLONIZED_DESCR,PlanetsColonized,3,5,150,CgkItJiH6OEGEAIQCA,,80,26,8,12
,,,,6,20,300,,,,27,9,
,,,,9,50,500,,,,28,,
,,,,12,100,1000,,,,29,10,
,,,,16,200,10000,,,,30,,
Tax,TID_ACHIEVEMENT_TAX,TID_ACHIEVEMENT_TAX_DESCR,Tax,1000,1,50,CgkItJiH6OEGEAIQCQ,1,90,,,
,,,,50000,5,200,,,,,,
,,,,250000,20,500,,,,,,
,,,,5000000,50,1000,,,,,,
,,,,100000000,100,10000,,,,,,
Relationship,TID_ACHIEVEMENT_RELATIONSHIP,TID_ACHIEVEMENT_RELATIONSHIP_DESCR,Relationship,1,5,50,CgkItJiH6OEGEAIQCg,,100,36,12,-1
,,,,7,30,200,,,,37,,
,,,,30,100,500,,,,38,,
,,,,180,500,1000,,,,39,,
,,,,365,1000,10000,,,,40,,
CerberusFleetsDestroyed,TID_ACHIEVEMENT_CERBFLEETSDESTROYED,TID_ACHIEVEMENT_CERBFLEETSDESTROYED_DESCR,CerberusFleetsDestroyed,5,1,50,CgkItJiH6OEGEAIQCw,,110,41,13,
,,,,50,5,200,,,,42,,
