Name,XPRequired,MaxMembers,PassiveIncomeModifier,BaseArtifactYieldBonus,MaxArtifactYieldBonus,MaxFlagshipLevel
1,0,25,100,0,0,0
2,1,26,102,1,22,1
3,30,27,104,2,24,2
4,100,28,106,3,26,3
5,250,29,108,4,28,4
6,500,30,110,5,30,5
7,1000,31,112,6,32,6
8,2000,32,114,7,34,7
9,3000,33,116,8,36,8
10,5000,34,118,9,38,9
11,7000,35,120,10,40,10
12,9000,36,122,11,42,11
13,11000,37,124,12,44,12
14,13000,38,126,13,46,13
15,16000,39,128,14,48,14
16,20000,40,130,15,50,15
17,25000,40,132,16,52,16
18,32000,40,134,17,54,17
19,40000,40,136,18,56,18
20,50000,40,138,19,58,19
21,60000,40,140,20,60,20
