"TID_INTRO_MESSAGE_TITLE","BIENVENIDO A HADES' STAR"
"TID_INTRO_MESSAGE","Recopilamos información de los dispositivos y otros datos necesarios para gestionar nuestro juego y proporcionarte asistencia personalizada. Para saber más, consulta nuestra <style=Link><link={0}>Política de privacidad</link></style>.\n\nJuego disponible para mayores de 13 años.\n\nPulsa ACEPTAR para aceptar las Condiciones del servicio.\n\n<style=Link><link={1}>Ver Condiciones del servicio</link></style>"
"TID_INTRO_MSG_ACCEPT","ACEPTAR"
"TID_DAY_ABBREVIATION","d"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Recuperando cuenta..."
"TID_LOADINGSCREEN_LOADING_STAR","Recuperando sistema estelar..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Cargando sistema estelar..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","¿Quieres cambiar a tu cuenta conectada? (<color>{0}</color>, nivel <color>{1}</color>). Se perderán los progresos de la partida actual."
"TID_CORP_LEADER_DESCR","Primer oficial"
"TID_CORP_COLEADER_DESCR","Oficial"
"TID_CORP_ELDER_DESCR","Miembro sénior"
"TID_CORP_MEMBER_DESCR","Miembro"
"TID_YOUR_EMPIRE","Tu imperio"
"TID_OK","ACEPTAR"
"TID_RETRY","REINTENTAR"
"TID_RECONNECT","RECONECTAR"
"TID_CANCEL","CANCELAR"
"TID_CONNECTION_ERROR","ERROR DE CONEXIÓN"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Imposible conectar con el servidor. Comprueba tu conexión a Internet y vuelve a intentarlo."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Imposible acceder a tu cuenta. Contacta con Asistencia al jugador."
"TID_CONNECTION_ERROR_OLD_VERSION","¡Ya disponible una nueva versión del juego! Descárgala y disfruta de las funciones más recientes."
"TID_IOS_UPDATE_HINT","IMPORTANTE: Si no ves la nueva versión en el App Store, ve a la pestaña Actualizaciones y recarga la lista manualmente desplazándote hacia abajo varias veces."
"TID_CONNECTION_ERROR_NEW_VERSION","Versión incorrecta"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Descargar versión más reciente"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam no debería tardar en actualizar automáticamente a la última versión de Hades' Star. Si sigues recibiendo este mensaje, comprueba los ajustes de actualización del juego y reinicia Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Error del servidor interno. Inténtalo más tarde."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Tu cuenta ha sido bloqueada."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Has iniciado sesión desde otro dispositivo."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Los servidores están sobrecargados. Inténtalo más tarde."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","No es posible autentificar con Steam. Inicia el juego desde Steam y comprueba tu conexión a internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Error grave de falta de sincronización. El juego debe reiniciarse."
"TID_CONNECTION_ERROR_MAINTENANCE","Los servidores están en mantenimiento. Inténtalo en unos minutos."
"TID_CONNECTION_LOST_INACTIVITY","Has sido desconectado del servidor por inactividad."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","El servidor se cerrará en unos minutos para realizar tareas de mantenimiento."
"TID_LABEL_SERVER_MAINTENANCE","Mantenimiento del servidor:\n{0}"
"TID_MAINTENANCE_TITLE","MANTENIMIENTO"
"TID_MAINTENANCE_INFO","Realizamos tareas de mantenimiento del servidor con frecuencia para mejorar el juego."
"TID_MORE_INFO_BTN","MÁS INFORMACIÓN"
"TID_ASTEROID_FIELD","Campo de asteroides"
"TID_RS_ASTEROID_FIELD","Campo de asteroides de estrellas rojas"
"TID_RS_ASTEROID_FIELD_DESCR","El campo de asteroides de una estrella roja contiene hidrógeno, que se puede recoger con naves mineras y se puede usar para activar módulos únicamente dentro de esa misma estrella roja. El hidrógeno recogido no se puede transferir fuera de la estrella roja.\n\nCada jugador en la estrella roja tiene su propio suministro de hidrógeno. No puedes robar o compartir el hidrógeno de otros jugadores."
"TID_CLONED_ASTEROID","Asteroide escaneado"
"TID_CLONED_ASTEROID_DESCR","La esperanza de vida de los asteroides escaneados es limitada. Su hidrógeno debe recogerse antes de que desaparezcan."
"TID_COLONIZATION_STARTING","Iniciando colonización en {0}"
"TID_DISBAND_FLEET_CONFIRM","¿Seguro que quieres destruir esta nave para siempre? Aumentarás la capacidad de tu flota."
"TID_DISBAND_WS_CONFIRM","Las naves desintegradas en estrellas blancas tendrán una gran penalización de tiempo de espera. No podrás reemplazar esta nave en esta estrella blanca durante un buen tiempo.\n\n¿Quieres proceder con la desintegración?"
"TID_DISBAND_DRONE_CONFIRM","¿Seguro que quieres destruir este dron tan pronto?"
"TID_STATUS_UPGRADING","Mejorando..."
"TID_STATUS_COLONIZING","Colonizando..."
"TID_DISTANCE","{0} UA"
"TID_CONFIRM_DLG_TITLE","CONFIRMAR"
