"TID_INTRO_MESSAGE_TITLE","ДОБРО ПОЖАЛОВАТЬ В HADES' STAR"
"TID_INTRO_MESSAGE","Мы собираем сведения об устройстве и другие данные, которые нужны для работы программы и предоставления вам качественной поддержки. Подробную информацию вы найдете в <style=Link><link={0}>Политике конфиденциальности</link></style>.\n\nВозрастное ограничение — 13 лет.\n\nЧтобы принять условия обслуживания, нажмите «ПРИНЯТЬ».\n\n<style=Link><link={1}>Просмотреть Условия обслуживания</link></style>."
"TID_INTRO_MSG_ACCEPT","ПРИНЯТЬ"
"TID_DAY_ABBREVIATION","д"
"TID_HOUR_ABBREVIATION","ч"
"TID_MINUTE_ABBREVIATION","м"
"TID_SECOND_ABBREVIATION","с"
"TID_LOADINGSCREEN_LOADING_PLAYER","Получение данных учетной записи..."
"TID_LOADINGSCREEN_LOADING_STAR","Получение данных звездной системы..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Загрузка звездной системы..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Хотите перейти на свою подключенную учетную запись? (<color>{0}</color>, уровень <color>{1}</color>). Достижения текущей игры будут потеряны."
"TID_CORP_LEADER_DESCR","Старший офицер"
"TID_CORP_COLEADER_DESCR","Офицер"
"TID_CORP_ELDER_DESCR","Старший участник"
"TID_CORP_MEMBER_DESCR","Участник"
"TID_YOUR_EMPIRE","Ваша империя"
"TID_OK","ОК"
"TID_RETRY","ЗАНОВО"
"TID_RECONNECT","ПОВТ. ПОДКЛЮЧЕНИЕ"
"TID_CANCEL","ОТМЕНА"
"TID_CONNECTION_ERROR","ОШИБКА ПОДКЛЮЧЕНИЯ"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Нет связи с сервером. Проверьте подключение к сети и повторите попытку."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Не удается войти в учетную запись. Обратитесь в службу поддержки игроков."
"TID_CONNECTION_ERROR_OLD_VERSION","Доступна новая версия игры! Загрузите ее и получите новые возможности."
"TID_IOS_UPDATE_HINT","ВАЖНОЕ СООБЩЕНИЕ: Если вы не видите новую версию в App Store, откройте вкладку «Обновления» и обновите список вручную, несколько раз пролистав его вниз."
"TID_CONNECTION_ERROR_NEW_VERSION","Неправильная версия"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Загрузить актуальную версию"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Скоро Steam должен автоматически обновить игру Hades' Star до новейшей версии. Если вы продолжаете получать это сообщение, проверьте настройки обновления игры и перезапустите Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Внутренняя ошибка сервера. Повторите попытку позже."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Ваш учетная запись заблокирована."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Вы вошли с другого устройства."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Серверы перегружены. Повторите попытку позже."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Не удается установить соединение со Steam. Пожалуйста, запустите игру в Steam и проверьте подключение к Интернету."
