"TID_INTRO_MESSAGE_TITLE","欢迎来到HADES' STAR"
"TID_INTRO_MESSAGE","为了运营游戏，为您提供个人化的支持，我们会收集设备及其他必要的数据。欲了解详情，请参阅我们的<style=Link><link={0}>《隐私政策》</link></style>。\n\n您必须至少为13岁方可进行游戏。\n\n点击“确认”接受我们的《服务条款》。\n\n<style=Link><link={1}>查看《服务条款》</link></style>"
"TID_INTRO_MSG_ACCEPT","接受"
"TID_DAY_ABBREVIATION","日"
"TID_HOUR_ABBREVIATION","时"
"TID_MINUTE_ABBREVIATION","分"
"TID_SECOND_ABBREVIATION","秒"
"TID_LOADINGSCREEN_LOADING_PLAYER","正在获取账户……"
"TID_LOADINGSCREEN_LOADING_STAR","正在获取恒星系统……"
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","正在加载恒星系统……"
"TID_SWITCH_TO_CONNECTED_ACCOUNT","您是否希望切换至您已连接的账户？（<color>{0}</color>，等级<color>{1}</color>）。当前游戏进度将会丢失。"
"TID_CORP_LEADER_DESCR","首席干事"
"TID_CORP_COLEADER_DESCR","干事"
"TID_CORP_ELDER_DESCR","高级成员"
"TID_CORP_MEMBER_DESCR","成员"
"TID_YOUR_EMPIRE","您的帝国"
"TID_OK","确认"
"TID_RETRY","重试"
"TID_RECONNECT","重新连接"
"TID_CANCEL","取消"
"TID_CONNECTION_ERROR","连接错误"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","无法连接到服务器。请检查您的网络连接并重试。"
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","无法读取您的账户。请联系游戏客服。"
"TID_CONNECTION_ERROR_OLD_VERSION","游戏有新版本可用！立刻下载以享受最新的功能。"
"TID_IOS_UPDATE_HINT","重要提示：如果您在应用商店内看不到新版本，请移步更新选项卡，然后向下滑动几次，手动刷新更新列表。"
"TID_CONNECTION_ERROR_NEW_VERSION","版本不正确"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","下载最新版本"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam应很快将《Hades' Star》自动更新至最新版本。如果您总是收到此信息，请检查游戏更新设置，并重新启动Steam。"
"TID_CONNECTION_ERROR_SERVER_ERROR","内部服务器错误。请稍候再试一次。"
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","您的账户已被禁用。"
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","您已在另一台设备上登入。"
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","服务器现负荷过重。请稍候再试一次。"
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","无法通过Steam完成验证。请从Steam中启动游戏，并确保您的网络连接正常。"
"TID_CONNECTION_ERROR_OUT_OF_SYNC","致命不同步错误。需要重启游戏。"
"TID_CONNECTION_ERROR_MAINTENANCE","服务器正在维护。请在几分钟之后再次尝试。"
"TID_CONNECTION_LOST_INACTIVITY","您已因不活动而断开与服务器的链接。"
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","服务器将在几分钟后关闭进行维护。"
"TID_LABEL_SERVER_MAINTENANCE","服务器维护将在\n{0}后开始"
"TID_MAINTENANCE_TITLE","维护"
"TID_MAINTENANCE_INFO","我们定期对服务器进行维护以改善游戏。"
"TID_MORE_INFO_BTN","更多信息"
"TID_ASTEROID_FIELD","小行星带"
"TID_RS_ASTEROID_FIELD","红巨星小行星带"
"TID_RS_ASTEROID_FIELD_DESCR","红巨星小行星带内含有氢气资源，可以用采矿舰开采，且仅可用于该红巨星内的模组激活。采集到的氢气无法被转移出红巨星。\n\n红巨星内的每名玩家都有独立的氢气储备。你无法窃取或与其他玩家分享氢气。"
"TID_CLONED_ASTEROID","扫描过的小行星"
"TID_CLONED_ASTEROID_DESCR","扫描过的小行星寿命有限。你应当在它们消失前采集上面的氢气。"
"TID_COLONIZATION_STARTING","开始向{0}殖民"
"TID_DISBAND_FLEET_CONFIRM","您确定要永久性摧毁这艘船吗？这将增加您的船舰上限。"
"TID_DISBAND_WS_CONFIRM","在白星内解散飞船会导致严重的超时惩罚。你将在很长一段时间里无法替换该白星内的飞船。\n\n要继续解散该飞船吗？"
"TID_DISBAND_DRONE_CONFIRM","您确定要早早地摧毁这架无人机吗？"
"TID_STATUS_UPGRADING","升级中……"
"TID_STATUS_COLONIZING","殖民中……"
"TID_DISTANCE","{0}天文单位"
"TID_CONFIRM_DLG_TITLE","确认"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","恒星系统加载失败"
"TID_MSG_QUIT_GAME","您确定要退出游戏吗？"
"TID_CMD_FAILED_TUTORIAL","该操作在此教学阶段不可用"
"TID_MSG_CANNOT_JUMP_SHIP","星际跳跃失败"
"TID_SHARE_MESSAGE_LABEL","消息"
"TID_SHARE_BUTTON_SUBMIT","提交"
"TID_SHARE_BUTTON_CANCEL","取消"
"TID_SHARE_VIEW_DEFAULT_MSG","先睹为快！"
"TID_SHARE_VIEW_DESCR","在该恒星系统中选择一个视图并与您的星际集团分享"
"TID_BACK_BUTTON","后退"
"TID_FINISH_REPAIR_CONFIRM","立刻完成此舰维修？"
"TID_PLAYER_JOIN_RED_STAR","{0}已加入该红巨星"
"TID_PLAYER_ABANDON_RED_STAR","{0}放弃了你的红巨星"
"TID_MAINTENANCE_MESSAGE","我们很抱歉最近服务器出现中断。作为补偿，我们已向您的账户添加了{0}水晶。感谢您的耐心！\n\n- Hades' Star团队"
"TID_FEATURE_DISABLED","此功能暂时禁用"
"TID_KEYBOARD_SHORTCUT","热键： <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","您必须先进一步在自己的恒星系统中扩张，才能建造此太空站"
"TID_BONUS_INDICATOR","奖励"
"TID_LEVEL_GENERIC","等级{0}"
"TID_LEVEL_ARTIFACT","等级{0}红巨星"
"TID_WS_CONFIRM_DLG_COOLDOWN","冷却：{0}"
"TID_WS_CONFIRM_DLG_COOLDOWN_INFO","在该白星内，同一个模组会共用一个冷却，所以即使你让一艘全新的飞船跃迁进来，也不会重置之前的冷却。"
