Cost,Credit Storage,Fuel Storage,XP Award,Credits Per Hour,Fuel Per Hour,ShipmentsCRValuePerDay,TimeToUpgrade,CrystalsWeight,RSLevelReq
0,1000,200,0,1,10,200,3,0,
50,1400,300,10,2,10,400,3,0,
200,1800,400,20,3,10,600,20,0,
400,3000,500,30,4,10,1000,40,0,
800,4000,600,40,5,10,1400,60,0,
1500,5000,800,50,6,11,1800,120,0,2
2000,6000,1000,60,7,11,2000,300,0,2
3000,7000,1500,70,8,12,2200,600,0,3
4000,8000,2300,80,9,12,2400,1200,0,3
5000,10000,3000,90,10,13,2600,1800,0,3
6000,12000,3900,100,12,14,2800,2400,0,3
8000,14000,4500,150,14,16,3000,3600,0,3
10000,16000,6000,200,16,18,3050,28800,0,3
20000,18000,7200,250,18,20,3100,86400,0,3
40000,20000,8500,300,20,23,3150,172800,0,4
80000,24000,9900,350,22,26,3200,302400,0,4
150000,30000,10800,400,24,29,3250,345600,0,4
200000,40000,11300,450,26,32,3300,388800,0,4
250000,50000,11500,500,28,36,3350,432000,0,4
300000,60000,11700,550,30,36,3400,475200,0,4
350000,80000,11700,600,32,36,3450,518400,0,5
400000,100000,11700,650,34,36,3500,561600,0,5
500000,120000,11700,700,36,36,3550,604800,0,5
800000,150000,11700,750,38,36,3600,648000,0,5
1000000,180000,11700,800,40,36,3700,691200,0,5
1200000,210000,12600,850,42,36,3800,734400,0,6
1500000,240000,13100,900,44,36,3900,777600,0,6
1700000,270000,13500,950,46,36,4000,820800,0,6
1750000,300000,14000,1000,48,36,4100,864000,0,6
2000000,330000,14400,1050,50,36,4200,907200,0,6
2250000,360000,15500,1100,52,36,4300,950400,0,7
2500000,400000,16600,1150,54,36,4400,993600,0,7
2750000,450000,17300,1200,56,36,4500,1036800,0,7
3000000,500000,18000,1250,58,36,4600,1080000,0,7
3500000,550000,19800,1300,60,36,5000,1123200,0,7
4000000,600000,20500,1350,62,36,5500,1166400,0,8
4500000,650000,21200,1400,64,36,6000,1209600,0,8
5000000,700000,22000,1450,66,36,6500,1209600,0,8
5500000,750000,22700,1500,68,36,7000,1209600,0,8
6000000,800000,23400,1550,70,36,7500,1209600,0,8
6500000,850000,24100,1550,72,36,8000,1382400,0,8
7000000,900000,24800,1550,74,36,8500,1382400,0,8
7500000,950000,25600,1550,76,36,9000,1382400,0,8
8000000,1000000,26300,1550,78,36,9500,1382400,0,8
9000000,1050000,27000,1550,80,36,10000,1382400,0,8
10000000,1100000,27700,1550,82,36,10100,1555200,0,8
11000000,1150000,28800,1550,84,36,10200,1555200,0,8
12000000,1200000,30800,1550,86,36,10300,1555200,0,8
13000000,1250000,32800,1550,88,36,10400,1555200,0,8
14000000,1300000,34700,1550,90,36,10500,1555200,0,8
15000000,1350000,36700,1550,92,36,10600,1728000,0,8
15000000,1400000,38700,1550,94,36,10700,1728000,0,8
15000000,1450000,40700,1550,96,36,10800,1728000,0,8
15000000,1500000,42700,1550,98,36,10900,1728000,0,8
15000000,1550000,44600,1550,100,36,11000,1728000,0,8
15000000,1600000,46600,1550,102,36,11100,1728000,0,8
15000000,1650000,48600,1550,104,36,11200,1728000,0,8
15000000,1700000,50600,1550,106,36,11300,1728000,0,8
15000000,1750000,52600,1550,108,36,11400,1728000,0,8
15000000,1800000,54500,1550,110,36,11500,1728000,0,8
15000000,1850000,56500,1550,112,36,11600,1728000,0,8
15000000,1900000,58500,1550,114,36,11700,1728000,0,8
15000000,1950000,60500,1550,116,36,11800,1728000,0,8
15000000,2000000,63500,1550,118,36,12000,1728000,0,8
