Name,TID,TID_Description,PlanetSize,AppearanceModels,YSCommonVariations,RedStarDisplayLevel,MaxUpgradeLevel,CreditIncomeModifier,FuelIncomeModifier,CreditStorageModifier,FuelStorageModifier,CreditShipmentModifier,FuelShipmentModifier,ConceptImage,ColonizeCost,MaxHealth,ShipmentOverride,RelicHydroStages,RelicHydroAmounts
desert_lv1,TID_PLANET_DESERT_1,TID_PLANET_DESERT_DESCR,150,desert!desert02!desert03!desert04!desert13_P!desert14_P!desert15_P!desert16_P!desert17_P,4,,64,70,50,100,100,70,0,portrait_Planet,0,,,,
desert_lv2,TID_PLANET_DESERT_2,TID_PLANET_DESERT_DESCR,200,desert05!desert06!desert07!desert08!desert13_P!desert14_P!desert15_P!desert16_P!desert17_P,4,,64,80,0,100,100,120,0,portrait_Planet,200000,,,,
desert_lv3,TID_PLANET_DESERT_3,TID_PLANET_DESERT_DESCR,280,desert09!desert10!desert11!desert12!desert13_P!desert14_P!desert15_P!desert16_P!desert17_P,4,,64,90,0,100,100,140,0,portrait_Planet,500000,,,,
lava_lv1,TID_PLANET_LAVA_1,TID_PLANET_LAVA_DESCR,150,fire!fire01!fire02!fire03!fire11_P!fire12_P!fire13_P!fire14_P!fire15_P!fire16_P,4,,64,70,50,100,0,70,0,portrait_Planet,150,,,,
lava_lv2,TID_PLANET_LAVA_2,TID_PLANET_LAVA_DESCR,210,fire04!fire05!fire06!fire07!fire11_P!fire12_P!fire13_P!fire14_P!fire15_P!fire16_P,4,,64,80,60,100,0,80,0,portrait_Planet,80000,,,,
lava_lv3,TID_PLANET_LAVA_3,TID_PLANET_LAVA_DESCR,300,fire08!fire09!fire10!fire11_P!fire12_P!fire13_P!fire14_P!fire15_P!fire16_P,3,,64,90,70,100,0,130,0,portrait_Planet,300000,,,,
water_lv1,TID_PLANET_WATER_1,TID_PLANET_WATER_DESCR,220,water!water02!water03!water04!water13_P!water13_P1!water13_P2!water13_P3!water14_P!water15_P,4,,64,100,100,100,50,70,0,portrait_Planet,200,,,,
water_lv2,TID_PLANET_WATER_2,TID_PLANET_WATER_DESCR,240,water05!water06!water07!water08!water13_P!water13_P1!water13_P2!water13_P3!water14_P!water15_P,4,,64,100,100,100,50,120,0,portrait_Planet,100000,,,,
water_lv3,TID_PLANET_WATER_3,TID_PLANET_WATER_DESCR,320,water09!water10!water11!water12!water13_P!water13_P1!water13_P2!water13_P3!water14_P!water15_P,4,,64,100,100,100,50,130,0,portrait_Planet,750000,,,,
terran_lv1,TID_PLANET_TERRAN_1,TID_PLANET_TERRAN_DESCR,200,terran01!terran02!terran03!terran04!terran13_P!terran14_P!terran15_P!terran16_P!terran17_P,4,,64,100,100,100,80,80,0,portrait_Planet,1000,,,,
