Name,TID,TID_Description,GooglePlayName,Model,PremiumCurrencyAmount,IsRealMoneyTransaction,CrystalShipmentNumDays,CrystalShipmentAmount,CreditsFillPct,FuelFillPct,IsStarterPack,RefPrice,DisplayOrder,SteamPrice
PCS,TID_STARTER_PACK,TID_STARTER_PACK_DESCR,com.hadesstar.pcs,,1000,1,,,,,1,5,1,USD5
PC1,TID_CRYSTAL_PACK_SMALL,,com.hadesstar.pc1,,100,1,,,,,,3,3,USD3
PC2,TID_CRYSTAL_PACK_MED,,com.hadesstar.pc2,,500,1,,,,,,10,4,USD10
PC3,TID_CRYSTAL_PACK_LARGE,,com.hadesstar.pc3,,1200,1,,,,,,20,5,USD20
PC4,TID_CRYSTAL_PACK_HUGE,,com.hadesstar.pc4,,3000,1,,,,,,50,6,USD50
PC5,TID_CRYSTAL_PACK_EPIC,,com.hadesstar.pc5,,8000,1,,,,,,100,7,USD100
FuelPack1,,,,,,0,,,,10,,,8,
FuelPack2,,,,,,0,,,,50,,,9,
FuelPack3,,,,,,0,,,,100,,,10,
CreditsPack1,,,,,,0,,,10,,,,11,
CreditsPack2,,,,,,0,,,50,,,,12,
CreditsPack3,,,,,,0,,,100,,,,13,
PCB,TID_BOOSTER_PACK,TID_BOOSTER_PACK_DESCR,com.hadesstar.pcb,,0,1,8,75,,,,5,2,USD5
