Name,PlanetTypes,MinPlanetDistanceFromCenter,MaxPlanetDistanceFromCenter,NumMoons,MoonDistance,MoonSize,AsteroidsMin,AsteroidsMax,HydrogenPerDay,AsteroidBeltAxis1Size,AsteroidBeltAxis2Size,CerbGroup,NumBases,BaseType,MinArtifacts,MaxArtifacts,ArtifactGroupName,DisableMoveOutsideSector,SpawnPctPerGateDistance,GhostsSpawnWeight
TutorialRedStar,destroyed01,1250,1250,,,100,0,0,0,0,0,RS0,,,1,1,tutorial,0,,
Mine_Risk0_Lv1,,,,,,,1,1,100,1500,1200,,,,,,,,,
Mine_Risk0_Lv2,,,,,,,1,2,150,1200,1500,,,,,,,,,
Mine_Risk0_Lv3,,,,,,,2,3,200,1300,1500,,,,,,,,,
Mine_Risk0_Lv4,,,,,,,2,3,250,1300,1500,,,,,,,,,
Mine_Risk0_Lv5,,,,,,,2,3,300,1300,1500,,,,,,,,,
Mine_Risk0_Lv6,,,,,,,2,3,350,1300,1500,,,,,,,,,
Mine_Risk0_Lv7,,,,,,,2,3,400,1300,1500,,,,,,,,,
Mine_Risk0_Lv8,,,,,,,2,3,600,1300,1500,,,,,,,,,
Mine_Risk0_Lv9,,,,,,,2,3,800,1300,1500,,,,,,,,,
Mine_Risk0_Lv10,,,,,,,2,3,1400,1300,1500,,,,,,,,,
Mine_Risk1_Lv1,,,,,,,3,4,200,1200,1400,,,,,,,,,
Mine_Risk1_Lv2,,,,,,,3,4,300,1300,1500,RSG,,,,,,,,
Mine_Risk1_Lv3,,,,,,,4,5,400,1300,1500,RSM1L3,,,,,,,,
Mine_Risk1_Lv4,,,,,,,4,5,500,1300,1500,RSM1L4,,,,,,,,
Mine_Risk1_Lv5,,,,,,,4,6,600,1300,1500,RSM1L5,,,,,,,,
Mine_Risk1_Lv6,,,,,,,4,6,700,1300,1500,RSM1L6,,,,,,,,
Mine_Risk1_Lv7,,,,,,,4,6,950,1300,1500,RSM1L7,,,,,,,,
Mine_Risk1_Lv8,,,,,,,4,6,1400,1300,1500,RSM1L8,,,,,,,,
Mine_Risk1_Lv9,,,,,,,4,6,1800,1300,1500,RSM1L9,,,,,,,,
Mine_Risk1_Lv10,,,,,,,4,6,2200,1300,1500,RSM1L10,,,,,,,,800
Mine_Risk2_Lv1,,,,,,,3,4,200,1800,1300,RSM2L1,,,,,,,,
Mine_Risk2_Lv2,,,,,,,3,4,300,1300,1500,RSM2L2,,,,,,,,
Mine_Risk2_Lv3,,,,,,,4,6,750,1300,1500,RSM2L3,,,,,,,,
Mine_Risk2_Lv4,,,,,,,6,8,800,1300,1500,RSM2L4,,,,,,,,
Mine_Risk2_Lv5,,,,,,,8,10,900,1300,1500,RSM2L5,,,,,,,,
Mine_Risk2_Lv6,,,,,,,8,10,1100,1300,1500,RSM2L6,,,,,,,,
Mine_Risk2_Lv7,,,,,,,8,10,1800,1300,1500,RSM2L7,,,,,,,,
Mine_Risk2_Lv8,,,,,,,8,10,3200,1300,1500,RSM2L8,,,,,,,,
Mine_Risk2_Lv9,,,,,,,8,10,4500,1300,1500,RSM2L9,,,,,,,,
Mine_Risk2_Lv10,,,,,,,8,10,6500,1300,1500,RSM2L10,,,,,,,,1000
ArtifactPlanet_Lv1,destroyed01,,,,,,4,5,100,2000,2000,RS0,,,3,3,rs1,,,400
ArtifactPlanet_Lv2,destroyed02,,,,,,4,6,200,1900,1900,RSP2,,,3,3,rs2,,,400
ArtifactPlanet_Lv3,destroyed03,,,,,,4,6,300,1850,1850,RSP3,,,3,4,rs3,,,500
ArtifactPlanet_Lv4,destroyed04,,,,,,4,6,400,1800,1800,RSP4,,,3,4,rs4,,,600
ArtifactPlanet_Lv5,destroyed05,,,,,,4,6,500,1750,1750,RSP5,,,3,4,rs5,,,700
ArtifactPlanet_Lv6,destroyed06,,,,,,4,6,600,1750,1750,RSP6,,,4,5,rs6,,,800
ArtifactPlanet_Lv7,destroyed07,,,,,,4,6,700,1750,1750,RSP7,,,4,6,rs7,,10!100,900
ArtifactPlanet_Lv8,destroyed08,,,,,,4,6,800,1750,1750,RSP8,,,4,6,rs8,,10!100,1000
ArtifactPlanet_Lv9,destroyed09,,,,,,6,8,900,1750,1750,RSP9,,,4,6,rs9,,10!100,1000
ArtifactPlanet_Lv10,destroyed10,,,,,,6,8,1000,1750,1750,RSP10,,,4,6,rs10,,12!100,1000
