Name,CanBeBuilt,CanCancelBuild,CancelBuildRefundPct,CanBeRenamed,SeparateBuildingPerLevel,AllowAdditionalBuildingsAtMaxLevel,BuyInPairs,MoveHydrogenCostPerSector,AllowMoveInSameSectorOnly,TID,TID_Description,TID_INFO_SCREEN,TID_UPGRADE,TID_CUSTOM_TUT_SELECT,ConceptImage,Model,PrefabModel,PrefabModel_BuildMenu,RequiredPlanetLevel,Cost,TimeSpeedupFactor,TimeSpeedupMaxSeconds,TimeSpeedupRegenPerDay,SectorUnlockCost,SectorUnlockTime,ConstructionTimeHours,ConstructionTimeMinutes,ConstructionTimeSeconds,TotalShipmentCRPerDay,IsStargate,IsAllianceStargate,ResearchSlots,RequiresEmptySector,RequiresStarSector,MaxOnOwnSolarSystem,MaxPerSector,StarScannerType,IsWarpLane,CanScanSectors,ShipyardCapacity,OverrideMinAsteroidDistSquared,StargateModel,TeleportShipmentsPerHr,TeleportShipmentsDurationHr,TeleportShipmentActivationFragments,FragmentCapacity,TeleportShipmentMaxSectors,TSHydroCost,BuildNotifMode,ShowInStarLinks
Shipyard,1,,,,,,,1000,,TID_BUILDING_SHIPYARD,TID_BUILDING_SHIPYARD_DESCR,TID_BUILDING_SHIPYARD_DESCR,TID_BLD_SHIPYARD_UPGRADE,TID_TUT_SELECT_SHIPYARD,portrait_SpaceBuilding,shipyard,,,1,800,,,,,,,,5,,,,,0,,1,1,,,,4,,,,,,,,,0,1
,,,,,,,,,,,,,,,,,,,,1000,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5000,,,,,,,30,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,20000,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,80000,,,,,,8,,,,,,,,,,,,,,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,200000,,,,,,24,,,,,,,,,,,,,,12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,500000,,,,,,48,,,,,,,,,,,,,,13,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1000000,,,,,,72,,,,,,,,,,,,,,14,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2000000,,,,,,96,,,,,,,,,,,,,,15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5000000,,,,,,120,,,,,,,,,,,,,,16,,,,,,,,,,
ShortRangeScanner,1,1,90,,1,1,,500,1,TID_BUILDING_SHORT_RANGE_SCANNER,TID_BUILDING_SHORT_RANGE_SCANNER_DESCR,TID_BUILDING_SHORT_RANGE_SCANNER_INFO,,,portrait_SpaceBuilding,radar,,,3,500,,,,2500,3600,,1,,,,,,0,,,1,,,1,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,10000,,,,10000,28800,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,20000,,,,20000,57600,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40000,,,,40000,86400,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,80000,,,,80000,129600,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,150000,,,,150000,172800,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,300000,,,,300000,259200,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,600000,,,,600000,345600,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1000000,,,,1000000,432000,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2000000,,,,2000000,518400,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3000000,,,,3000000,604800,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4000000,,,,4000000,604800,24,,,,,,,,,,,,,,,,,,,,,,,,
RedStarScanner,1,,,,,,,1000,,TID_BUILDING_REDSTAR_SCANNER,TID_BUILDING_REDSTAR_SCANNER_DESCR,TID_BUILDING_REDSTAR_SCANNER_INFO,TID_BLD_REDSTAR_UPGRADE,TID_TUT_SELECT_MISSION_BUILDING,portrait_JumpGate,redStarScanner,,,4,1000,,,,,,,,3,,,,,0,,1,1,0,,,,,JumpGate,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,2000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,20000,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,60000,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,120000,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,250000,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1000000,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2000000,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4000000,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8000000,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12000000,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,
ResearchStation,1,,,,,,,200,,TID_BUILDING_RESEARCH,TID_BUILDING_RESEARCH_DESCR,TID_BUILDING_RESEARCH_INFO,TID_BLD_RESEARCH_STATION_UPGRADE,TID_TUT_SELECT_RESEARCH_STATION,portrait_SpaceBuilding,ResearchStation,,,5,1000,,,,,,,,5,,,,4,0,,1,1,,,,,,,,,,,,,1,1
DiplomacyCenter,1,,,,1,,,2000,,TID_BUILDING_DIPLOMACY_CENTER,TID_BUILDING_DIPLOMACY_CENTER_DESCR,TID_BUILDING_DIPLOMACY_CENTER_INFO,,,portrait_SpaceBuilding,embassy,,,7,25000,,,,,,8,,,,,,,0,,3,1,,,,,,JumpGate,,,,,,,3,1
,,,,,,,,,,,,,,,,,,,,500000,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4000000,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,
TradingStation,1,,,1,,,,3000,,TID_BUILDING_TRADINGSTATION,TID_BUILDING_TRADINGSTATION_DESCR,TID_BUILDING_TRADINGSTATION_DESCR,,,portrait_SpaceBuilding,trade_station,,,13,60000,,,,,,24,,,5000,,,,1,,3,1,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,120000,,,,,,48,,,7000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,250000,,,,,,96,,,9800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,500000,,,,,,120,,,13720,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1000000,,,,,,144,,,19208,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2000000,,,,,,168,,,26891,,,,,,,,,,,,,,,,,,,,,
