"TID_INTRO_MESSAGE_TITLE","WELCOME TO HADES' STAR"
"TID_INTRO_MESSAGE","We collect device information and other data necessary to operate our game and provide you personalized support. For details, see our <a name={0}>Privacy Policy</a>.\n\nYou must be at least 13 to play.\n\nPress ACCEPT to accept our Terms of Service.\n\n<a name={1}>View Terms Of Service</a>"
"TID_INTRO_MSG_ACCEPT","ACCEPT"
"TID_DAY_ABBREVIATION","d"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Retrieving Account..."
"TID_LOADINGSCREEN_LOADING_STAR","Retrieving Star System..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Loading Star System..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Would you like to switch to your connected account? (<color>{0}</color>, level <color>{1}</color>). Progress in the current game will be lost."
"TID_CORP_LEADER_DESCR","First Officer"
"TID_CORP_COLEADER_DESCR","Officer"
"TID_CORP_ELDER_DESCR","Senior Member"
"TID_CORP_MEMBER_DESCR","Member"
"TID_YOUR_EMPIRE","Your Empire"
"TID_OK","OK"
"TID_RETRY","RETRY"
"TID_RECONNECT","RECONNECT"
"TID_CANCEL","CANCEL"
"TID_CONNECTION_ERROR","CONNECTION ERROR"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Unable to contact the server. Please check your internet connectivity and try again."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Unable to access your account. Please contact player support."
"TID_CONNECTION_ERROR_OLD_VERSION","A new version of the game is available! Download it now to get the latest features."
"TID_IOS_UPDATE_HINT","IMPORTANT: If you do not see the new version on the App Store, please go to the Updates tab, then refresh the list manually by scrolling down a few times."
"TID_CONNECTION_ERROR_NEW_VERSION","Incorrect version"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Download Latest Version"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam should auto-update Hades' Star to the latest version soon. If you keep getting this message, please check the game's update settings and re-launch Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Internal server error. Please try again later."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Your account has been banned."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","You have logged in from another device."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","The servers are under heavy load. Please try again later."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Unable to authenticate with Steam. Please launch the game from within Steam and make sure you are connected to the internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Fatal out of sync error. The game needs to restart."
"TID_CONNECTION_ERROR_MAINTENANCE","The servers are under maintenance. Please try again in a few minutes."
"TID_CONNECTION_LOST_INACTIVITY","You have been disconnected from the server due to inactivity."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","The server will be shutting down in a few minutes for maintenance."
"TID_LABEL_SERVER_MAINTENANCE","Server maintenance in\n{0}"
"TID_MAINTENANCE_TITLE","MAINTENANCE"
"TID_MAINTENANCE_INFO","We regularly do server maintenance to improve the game.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>More Information</a>"
"TID_ASTEROID_FIELD","Asteroid Field"
"TID_COLONIZATION_STARTING","Starting colonization on {0}"
"TID_DISBAND_FLEET_CONFIRM","Are you sure you want to destroy this ship forever? This will increase your fleet capacity."
"TID_STATUS_UPGRADING","Upgrading..."
"TID_STATUS_COLONIZING","Colonizing..."
"TID_DISTANCE","{0}AU"
"TID_CONFIRM_DLG_TITLE","CONFIRM"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Failed to load star system"
"TID_MSG_QUIT_GAME","Are you sure you want to quit the game?"
