"TID_INTRO_MESSAGE_TITLE","BIENVENIDO A HADES' STAR"
"TID_INTRO_MESSAGE","Recopilamos información de los dispositivos y otros datos necesarios para gestionar nuestro juego y proporcionarte asistencia personalizada. Para saber más, consulta nuestra <a name={0}>Política de privacidad</a>.\n\nJuego disponible para mayores de 13 años.\n\nPulsa ACEPTAR para aceptar las Condiciones del servicio.\n\n<a name={1}>Ver Condiciones del servicio</a>"
"TID_INTRO_MSG_ACCEPT","ACEPTAR"
"TID_DAY_ABBREVIATION","d"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Recuperando cuenta..."
"TID_LOADINGSCREEN_LOADING_STAR","Recuperando sistema estelar..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Cargando sistema estelar..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","¿Quieres cambiar a tu cuenta conectada? (<color>{0}</color>, nivel <color>{1}</color>). Se perderán los progresos de la partida actual."
"TID_CORP_LEADER_DESCR","Primer oficial"
"TID_CORP_COLEADER_DESCR","Oficial"
"TID_CORP_ELDER_DESCR","Miembro sénior"
"TID_CORP_MEMBER_DESCR","Miembro"
"TID_YOUR_EMPIRE","Tu imperio"
"TID_OK","ACEPTAR"
"TID_RETRY","REINTENTAR"
"TID_RECONNECT","RECONECTAR"
"TID_CANCEL","CANCELAR"
"TID_CONNECTION_ERROR","ERROR DE CONEXIÓN"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Imposible conectar con el servidor. Comprueba tu conexión a Internet y vuelve a intentarlo."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Imposible acceder a tu cuenta. Contacta con Asistencia al jugador."
"TID_CONNECTION_ERROR_OLD_VERSION","¡Ya disponible una nueva versión del juego! Descárgala y disfruta de las funciones más recientes."
"TID_IOS_UPDATE_HINT","IMPORTANTE: Si no ves la nueva versión en el App Store, ve a la pestaña Actualizaciones y recarga la lista manualmente desplazándote hacia abajo varias veces."
"TID_CONNECTION_ERROR_NEW_VERSION","Versión incorrecta"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Descargar versión más reciente"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam no debería tardar en actualizar automáticamente a la última versión de Hades' Star. Si sigues recibiendo este mensaje, comprueba los ajustes de actualización del juego y reinicia Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Error del servidor interno. Inténtalo más tarde."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Tu cuenta ha sido bloqueada."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Has iniciado sesión desde otro dispositivo."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Los servidores están sobrecargados. Inténtalo más tarde."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","No es posible autentificar con Steam. Inicia el juego desde Steam y comprueba tu conexión a internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Error grave de falta de sincronización. El juego debe reiniciarse."
"TID_CONNECTION_ERROR_MAINTENANCE","Los servidores están en mantenimiento. Inténtalo en unos minutos."
"TID_CONNECTION_LOST_INACTIVITY","Has sido desconectado del servidor por inactividad."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","El servidor se cerrará en unos minutos para realizar tareas de mantenimiento."
"TID_LABEL_SERVER_MAINTENANCE","Mantenimiento del servidor:\n{0}"
"TID_MAINTENANCE_TITLE","MANTENIMIENTO"
"TID_MAINTENANCE_INFO","Realizamos tareas de mantenimiento del servidor con frecuencia para mejorar el juego.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Más información</a>"
"TID_ASTEROID_FIELD","Campo de asteroides"
"TID_COLONIZATION_STARTING","Iniciando colonización en {0}"
"TID_DISBAND_FLEET_CONFIRM","¿Seguro que quieres destruir esta nave para siempre? Aumentarás la capacidad de tu flota."
"TID_STATUS_UPGRADING","Mejorando..."
"TID_STATUS_COLONIZING","Colonizando..."
"TID_DISTANCE","{0} UA"
"TID_CONFIRM_DLG_TITLE","CONFIRMAR"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Error al cargar sistema estelar"
"TID_MSG_QUIT_GAME","¿Seguro que quieres salir del juego?"
"TID_CMD_FAILED_TUTORIAL","Esta acción no está disponible en esta fase del tutorial."
"TID_MSG_CANNOT_JUMP_SHIP","Salto fallido"
"TID_SHARE_MESSAGE_LABEL","ENVIAR MENSAJE"
"TID_SHARE_BUTTON_SUBMIT","ENVIAR"
"TID_SHARE_BUTTON_CANCEL","CANCELAR"
"TID_SHARE_VIEW_DEFAULT_MSG","¡Echa un vistazo!"
"TID_SHARE_VIEW_DESCR","Elige una vista de este sistema estelar para compartirla con tu corporación."
"TID_BACK_BUTTON","Atrás"
"TID_FINISH_REPAIR_CONFIRM","¿Finalizar ya la reparación de esta nave?"
"TID_PLAYER_JOIN_RED_STAR","{0} se ha unido a esta estrella roja."
"TID_MAINTENANCE_MESSAGE","Pedimos disculpas por la reciente desconexión del servidor. Como compensación, hemos añadido {0} cristales a tu cuenta. ¡Gracias por tu paciencia!\n\nEl equipo de Hades' Star"
"TID_FEATURE_DISABLED","Esta función está deshabilitada temporalmente."
"TID_PERSONAL_DATA_PREF","Gestionar datos personales"
"TID_KEYBOARD_SHORTCUT","Acceso rápido: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Debes expandirte más en tu sistema estelar antes de poder construir esta estación"
"TID_CMD_FAILED_GENERIC","Orden fallida"
"TID_CMD_FAILED_PLAYER","Orden del jugador fallida"
"TID_CMD_FAILED_SS","Orden del sistema estelar fallida"
