"TID_INTRO_MESSAGE_TITLE","Hades' Starへようこそ"
"TID_INTRO_MESSAGE","我々はゲームを運営するのに必要なデバイス情報やその他データを収集することで、お客様の皆様にサポートを提供しています。詳細に関しては<a name={0}>プライバシーポリシー</a>を確認してください。\n\n13歳未満のユーザーはプレイできません。\n\n利用規約に同意の上、OKボタンを押してください。\n\n<a name={1}>利用規約を表示する</a>"
"TID_INTRO_MSG_ACCEPT","承認"
"TID_DAY_ABBREVIATION","日"
"TID_HOUR_ABBREVIATION","時間"
"TID_MINUTE_ABBREVIATION","分"
"TID_SECOND_ABBREVIATION","秒"
"TID_LOADINGSCREEN_LOADING_PLAYER","アカウントを取得しています…"
"TID_LOADINGSCREEN_LOADING_STAR","恒星系を取得しています…"
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","恒星系をロードしています…"
"TID_SWITCH_TO_CONNECTED_ACCOUNT","関連付けられたアカウントへ切り替えますか？（<color>{0}</color>、レベル<color>{1}</color>）現在プレイ中のデータは失われます。"
"TID_CORP_LEADER_DESCR","ファーストオフィサー"
"TID_CORP_COLEADER_DESCR","オフィサー"
"TID_CORP_ELDER_DESCR","シニアメンバー"
"TID_CORP_MEMBER_DESCR","メンバー"
"TID_YOUR_EMPIRE","帝国"
"TID_OK","OK"
"TID_RETRY","リトライ"
"TID_RECONNECT","再接続"
"TID_CANCEL","キャンセル"
"TID_CONNECTION_ERROR","接続エラー"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","サーバーと通信できません。インターネット接続を確認してから、もう一度試してください。"
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","アカウントを取得できません。プレーヤーサポートに連絡してください。"
"TID_CONNECTION_ERROR_OLD_VERSION","ゲームの新しいバージョンが利用可能です！ダウンロードして最新機能を入手してください。"
"TID_IOS_UPDATE_HINT","重要：App Storeで新たなバージョンが見つからない場合は、「アップデート」タブに移動し何度か下へスクロールすることでリストを手動で更新してください。"
"TID_CONNECTION_ERROR_NEW_VERSION","不適切なバージョン"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","最新バージョンをダウンロードしてください"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steamは間もなく、Hades' Starの最新バージョンへの自動更新を行います。このメッセージが表示され続けている場合は、ゲームの更新設定を確認し、Steamを再起動してください。"
"TID_CONNECTION_ERROR_SERVER_ERROR","内部サーバーエラーが発生しました。後でもう一度試してください。"
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","アカウントが停止されました。"
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","別のデバイスからログインしています。"
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","サーバーが高負荷状態です。後でもう一度試してください。"
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Steamで認証することができません。Steam内からゲームを起動し、インターネットに接続していることを確認してください。"
"TID_CONNECTION_ERROR_OUT_OF_SYNC","致命的な同期エラーが発生しました。ゲームを再起動してください。"
"TID_CONNECTION_ERROR_MAINTENANCE","サーバーのメンテナンス中です。数分後にもう一度試してください。"
"TID_CONNECTION_LOST_INACTIVITY","一定時間操作が無かったため、サーバーから切断されました。"
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","サーバーはメンテナンスのため、数分後にシャットダウンします。"
"TID_LABEL_SERVER_MAINTENANCE","サーバーメンテナンスまで\n{0}"
"TID_MAINTENANCE_TITLE","メンテナンス"
"TID_MAINTENANCE_INFO","私たちはゲームを改善するため、定期的にサーバーのメンテナンスを行っています。\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>詳細</a>"
"TID_ASTEROID_FIELD","小惑星帯"
"TID_COLONIZATION_STARTING","{0}への入植を開始"
"TID_DISBAND_FLEET_CONFIRM","本当にこの船を破棄しますか？これにより艦船数の空きが増加します。"
"TID_STATUS_UPGRADING","アップグレード中…"
"TID_STATUS_COLONIZING","入植中…"
"TID_DISTANCE","{0}AU"
"TID_CONFIRM_DLG_TITLE","確認"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","恒星系のロードに失敗しました"
"TID_MSG_QUIT_GAME","本当にゲームを終了しますか？"
"TID_CMD_FAILED_TUTORIAL","チュートリアルのこの段階では、この操作はできません。"
"TID_MSG_CANNOT_JUMP_SHIP","ジャンプに失敗しました"
"TID_SHARE_MESSAGE_LABEL","メッセージ"
"TID_SHARE_BUTTON_SUBMIT","送信"
"TID_SHARE_BUTTON_CANCEL","キャンセル"
"TID_SHARE_VIEW_DEFAULT_MSG","これを見てください！"
"TID_SHARE_VIEW_DESCR","コーポレーションのメンバーと共有するための恒星系の展望図を選択してください"
"TID_BACK_BUTTON","戻る"
"TID_FINISH_REPAIR_CONFIRM","この船の修理を今すぐ完了しますか？"
"TID_PLAYER_JOIN_RED_STAR","{0}がこのレッドスターに参加しました"
"TID_MAINTENANCE_MESSAGE","最近のサーバー機能不全に関して、ご迷惑をお掛けし申し訳ございません。お詫びに、{0}クリスタルをアカウントに追加させて頂きました。今後とも、よろしくお願い致します！\n\n――Hades' Starチーム"
"TID_FEATURE_DISABLED","この機能は一時的に無効化されています"
"TID_PERSONAL_DATA_PREF","個人データを管理"
"TID_KEYBOARD_SHORTCUT","ホットキー: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","このステーションを構築する前に、星系内でさらに拡張する必要があります"
"TID_CMD_FAILED_GENERIC","コマンドに失敗しました"
"TID_CMD_FAILED_PLAYER","プレーヤーのコマンドに失敗しました"
"TID_CMD_FAILED_SS","恒星系のコマンドに失敗しました"
"TID_CMD_FAILED_RESOURCE_LIMIT","ストレージが足りません。惑星をアップグレードして、ストレージを増やしてください。"
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","サーバーがビジー状態です。数分後にもう一度試してください。"
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","ジャンプさせようとしている戦艦の数が、このレッドスターのサポート限界数を超えています。"
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","このジャンプゲートは使えません。"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","この貨物を積み込むための十分な容量がありません"
"TID_NOT_ENOUGH_CRYSTALS","クリスタルが足りません"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","可視範囲外へ艦船を送ることはできません"
"TID_CMD_ROUTE_EMPTY_SECTOR","未調査の宇宙空間を移動することはできません"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","この恒星系では、あまりに長い距離を移動することはできません"
"TID_CMD_CANT_UPGRADE_PLANET","この惑星はこれ以上アップグレードできません"
"TIC_CMD_ALREADY_UPGRADING_PLANET","惑星は現在アップグレード中です"
"TID_CMD_BUILDING_LIMIT_REACHED","この種類のステーションをこれ以上建造することはできません"
"TID_SCANNER_REQUIRED","隣接するセクターに利用可能なショートレンジ・スキャナーが必要です"
"TID_SCANNER_ALREADY_BUSY","ショートレンジ・スキャナーは別のセクターをスキャン中です"
"TID_MODULE_ON_COOLDOWN","モジュールはクールダウンが完了するまで再利用できません"
"TID_MODULE_ALREADY_ACTIVATED","このモジュールは既に作動中です"
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","このモジュールはパッシブ型なので作動させる必要はありません"
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","ハブの建設が完了するまで待つ必要があります"
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","新たなリンクを確立するには、両方のハブが停止中でなければなりません"
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","ハブをリンクさせるには、最低2個のハブを建設する必要があります"
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","他のプレーヤーの入植地にアーティファクトを届けることはできません"
"TID_CANNOT_EDIT_MODULES_ON_STAR","母恒星から離れた場所では、艦船のモジュールを変更することはできません"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","この貨物は、惑星の所有者のみが使用できます"
"TID_CMD_LEAP_NO_TARGET","有効なテレポート地点が見つかりません"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","この入植地は貨物をこれ以上保持できません"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","恒星へ直接向かうことはできません"
"TID_CMD_FAIL_CANTMOVE_BOND","ボンドの影響下では移動できません。"
"TID_ASTEROID_SPAWN_LIMIT","このセクターはこれ以上小惑星帯を維持できません"
"TID_ENTRUST_NO_CARGO","このモジュールは使用できません。所有者の船が貨物を運んでいません。"
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","ターゲットの船には貨物を収容するキャパがありません"
"TID_ENTRUST_SHIPMENT_LOADING","貨物を積んでる間はエントラストを使用できません"
"TID_GENESIS_INVALID_SECTOR","恒星セクターではジェネシスを使用できません"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","ホワイトスター行きのジャンプゲートがあるセクターでは、このモジュールは使えません"
"TID_CAN_USE_MODULE_ON_STAR","このタイプの恒星では、このモジュールは使えません"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","このモジュールはレベル{0}以上の公開されてるレッドスターにしか使えません"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","このモジュールはセクター内に敵船がいない限り、アクティベートできません"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","このモジュールは範囲内に敵船がいない限り、アクティベートできません"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","有効なテレポートターゲットが見つからないため、発動できません"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","復讐モジュールの作動中はシールドを作動させることができません"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","このモジュールを起動するには、採掘船に十分な水素を集める必要があります。"
"TID_SYSTEM_IS_PRIVATE","この恒星系はプライベートであるため、現在訪問できません"
"TID_FLAGHIP_NON_OFFICER","コーポレーションフラグシップに司令できるのはオフィサーだけです。"
"TID_FLAGSHIP_IN_ANOTHER_STAR","フラグシップは現在別の星にいます。"
"TID_FLAGSHIP_IN_CURRENT_STAR","フラグシップは既にこの星にいます。"
"TID_FLAGSHIP_IN_COOLDOWN","フラグシップは現在クールダウン中です。"
"TID_TUT_SECTION_REWARDS_LABEL","報酬"
"TID_TUT_CONSTRUCT_SHIPYARD","造船所を建設する"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","造船所では、新たな艦船を建造することができます。"
"TID_TUT_SELECT_SHIPYARD","• 造船所を選択してください"
"TID_TUT_SELECT_PLANET","• 惑星を選択してください"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","帝国が新たな恒星系を発見しました"
"TID_TUT_COLONIZE_FIRST_PLANET","最初の惑星に入植する"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","帝国は、より多くの惑星に入植することで成長します。\n\n惑星は貨物輸送によって収益を生み、この収益が宇宙ステーションの建設を可能にします。"
"TID_TUT_CONSTRUCT_SHIP","採掘船を建造する"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","輸送船は経済を発展させる上で必要不可欠です。入植したそれぞれの惑星に、最低1隻の輸送船を割り当てると良いでしょう。 "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","採掘船は惑星周囲のインフラを構築する上で必要不可欠です。"
"TID_TUT_CONSTRUCT_SPACE_STATION","{0}を建設する"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","交易ステーションを建設すれば追加の貨物が生産されます。この貨物を惑星に運ぶことで収益を得ることができます。"
"TID_TUT_UPGRADE_PLANET","惑星をアップグレードする"
"TID_TUT_UPGRADE_PLANET_DESCR","惑星をアップグレードすることで貨物の品質が向上すると共に、貯蔵できる資源の最大値が上昇します"
"TID_TUT_KEEP_DOING_STUFF","貨物の輸送を継続する"
"TID_TUT_KEEP_DOING_STUFF_DESCR","輸送船を使って、惑星、衛星間で貨物輸送を行います。\n\n貨物を輸送することで資源と経験値を獲得できます。"
"TID_TUT_COLONIZE_SECOND_PLANET","第二の惑星に入植する"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","新たな惑星に進出することは、帝国を成長させるために必要不可欠です。\n\n惑星に入植するには、1隻以上の船を惑星に移動させる必要があります。入植した惑星の数が増えるにつれて、入植のコストも上昇します。"
"TID_TUT_COLONIZE_THIRD_PLANET","新たな惑星に入植する"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","入植した惑星は、艦船の修復にも利用できます。修復を開始するために、損傷した戦艦の近くにある惑星に入植してください。"
"TID_TUT_TAP_ON_BUILDING_BUTTON","• 「{0}」ボタンをクリックしてください"
"TID_TUT_PLACE_BUILDING_PROMPT","• {0}を設 置する位置を選択してください"
"TID_TUT_SELECT_PRODUCTION","• 「建設」を選択してください"
"TID_TUT_SELECT_MINER_SHIP","• 採掘船を選択してください"
"TID_TUT_SELECT_SHIPMENTS","• 「貨物」を選択してください"
"TID_TUT_SELECT_LOAD_SHIPMENT","• クリックして貨物を積み込んでください"
"TID_TUT_CLOSE_SHIPMENTS","• 「貨物」ウィンドウを閉じてください"
"TID_TUT_CLOSE_PRODUCTION","• 「生産」ウィンドウを閉じてください"
"TID_TUT_CLOSE_MISSION_WINDOW","• ウィンドウを閉じてください"
"TID_TUT_SELECT_MOVE","• 「移動」を選択してください"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• 「移動」ボタンを押すか、光っている貨物輸送目的地を右クリックしてください"
"TID_TUT_SELECT_PROFILE","• 「帝国」ウィンドウを開いてください"
"TID_TUT_SELECT_OBJECTIVES_TAB","• 「目標」を選択してください"
"TID_TUT_SELECT_DESTINATION","• 貨物の目的地を選択してください"
"TID_TUT_SELECT_DEPART_NOW","• 「出航」を選択してください"
"TID_TUT_SELECT_DEPART_NOW_PC","• 「出航」をクリックするか「目的地」を右クリックしてください"
"TID_TUT_SELECT_CANCEL_DEPART","• 「キャンセル」を選択してください"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• 別の貨物を積み込みます。「移動」コマンドを使うか、船をドラッグして、船を惑星へ移動させてください"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• 「移動」ボタンを押すか、さらに貨物を拾うために「惑星」を右クリッしてください"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• 別の貨物を積み込みます。「移動」コマンドを使うか、船をドラッグして、船を衛星へ移動させてください"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• 「移動」ボタンを押すか、さらに貨物を拾うために「月」を右クリッしてください"
