"TID_INTRO_MESSAGE_TITLE","BOAS-VINDAS AO HADES' STAR"
"TID_INTRO_MESSAGE","Coletamos informações do dispositivo e outros dados necessários para operar nosso jogo e oferecer apoio personalizado para você. Para detalhes, confira nossa <a name={0}>Política de Privacidade</a>.\n\nPara jogar, é necessário ter no mínimo 13 anos.\n\nPressione ACEITAR para aceitar nossos Termos de Serviço.\n\n<a name={1}>Ver Termos de Serviço</a>"
"TID_INTRO_MSG_ACCEPT","ACEITAR"
"TID_DAY_ABBREVIATION","d"
"TID_HOUR_ABBREVIATION","h"
"TID_MINUTE_ABBREVIATION","m"
"TID_SECOND_ABBREVIATION","s"
"TID_LOADINGSCREEN_LOADING_PLAYER","Buscando conta..."
"TID_LOADINGSCREEN_LOADING_STAR","Buscando sistema estelar..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Carregando sistema estelar..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Gostaria de trocar para sua conta vinculada? (<color>{0}</color>, nível <color>{1}</color>). Seu progresso no jogo atual será perdido."
"TID_CORP_LEADER_DESCR","Primeiro Oficial"
"TID_CORP_COLEADER_DESCR","Oficial"
"TID_CORP_ELDER_DESCR","Membro Sênior"
"TID_CORP_MEMBER_DESCR","Membro"
"TID_YOUR_EMPIRE","Seu Império"
"TID_OK","OK"
"TID_RETRY","TENTAR NOVAMENTE"
"TID_RECONNECT","RECONECTAR"
"TID_CANCEL","CANCELAR"
"TID_CONNECTION_ERROR","ERRO DE CONEXÃO"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Não foi possível conectar ao servidor. Verifique sua conexão com a internet e tente novamente."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Não foi possível acessar a sua conta. Entre em contato com o suporte ao jogador."
"TID_CONNECTION_ERROR_OLD_VERSION","Uma nova versão do jogo está disponível! Baixe agora para ver os novos recursos."
"TID_IOS_UPDATE_HINT","IMPORTANTE: Se você não ver a nova versão na App Store, abra a aba Atualizações e atualize a lista manualmente rolando algumas vezes para baixo."
"TID_CONNECTION_ERROR_NEW_VERSION","Versão incorreta."
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Baixe a versão mais recente."
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","O Steam atualizará Hades' Star para a versão mais recente em breve. Caso continue a receber essa mensagem, confira as configurações de atualização do jogo e reinicie o Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Erro interno do servidor. Tente novamente mais tarde."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Sua conta foi banida."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Você acessou o jogo de outro dispositivo."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Os servidores estão ocupados. Tente novamente mais tarde."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Não foi possível autenticar com o Steam. Inicie o jogo a partir do Steam e certifique-se de ter uma conexão com a Internet."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Erro fatal de sincronização. O jogo precisa ser reiniciado."
"TID_CONNECTION_ERROR_MAINTENANCE","O servidor está em manutenção. Tente novamente em alguns minutos."
