"TID_INTRO_MESSAGE_TITLE","ДОБРО ПОЖАЛОВАТЬ В HADES' STAR"
"TID_INTRO_MESSAGE","Мы собираем сведения об устройстве и другие данные, которые нужны для работы программы и предоставления вам качественной поддержки. Подробную информацию вы найдете в <a name={0}>Политике конфиденциальности</a>.\n\nВозрастное ограничение — 13 лет.\n\nЧтобы принять условия обслуживания, нажмите «ПРИНЯТЬ».\n\n<a name={1}>Просмотреть Условия обслуживания</a>."
"TID_INTRO_MSG_ACCEPT","ПРИНЯТЬ"
"TID_DAY_ABBREVIATION","д"
"TID_HOUR_ABBREVIATION","ч"
"TID_MINUTE_ABBREVIATION","м"
"TID_SECOND_ABBREVIATION","с"
"TID_LOADINGSCREEN_LOADING_PLAYER","Получение данных учетной записи..."
"TID_LOADINGSCREEN_LOADING_STAR","Получение данных звездной системы..."
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","Загрузка звездной системы..."
"TID_SWITCH_TO_CONNECTED_ACCOUNT","Хотите перейти на свою подключенную учетную запись? (<color>{0}</color>, уровень <color>{1}</color>). Достижения текущей игры будут потеряны."
"TID_CORP_LEADER_DESCR","Старший офицер"
"TID_CORP_COLEADER_DESCR","Офицер"
"TID_CORP_ELDER_DESCR","Старший участник"
"TID_CORP_MEMBER_DESCR","Участник"
"TID_YOUR_EMPIRE","Ваша империя"
"TID_OK","ОК"
"TID_RETRY","ЗАНОВО"
"TID_RECONNECT","ПОВТ. ПОДКЛЮЧЕНИЕ"
"TID_CANCEL","ОТМЕНА"
"TID_CONNECTION_ERROR","ОШИБКА ПОДКЛЮЧЕНИЯ"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","Нет связи с сервером. Проверьте подключение к сети и повторите попытку."
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","Не удается войти в учетную запись. Обратитесь в службу поддержки игроков."
"TID_CONNECTION_ERROR_OLD_VERSION","Доступна новая версия игры! Загрузите ее и получите новые возможности."
"TID_IOS_UPDATE_HINT","ВАЖНОЕ СООБЩЕНИЕ: Если вы не видите новую версию в App Store, откройте вкладку «Обновления» и обновите список вручную, несколько раз пролистав его вниз."
"TID_CONNECTION_ERROR_NEW_VERSION","Неправильная версия"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","Загрузить актуальную версию"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Скоро Steam должен автоматически обновить игру Hades' Star до новейшей версии. Если вы продолжаете получать это сообщение, проверьте настройки обновления игры и перезапустите Steam."
"TID_CONNECTION_ERROR_SERVER_ERROR","Внутренняя ошибка сервера. Повторите попытку позже."
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","Ваш учетная запись заблокирована."
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","Вы вошли с другого устройства."
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","Серверы перегружены. Повторите попытку позже."
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","Не удается установить соединение со Steam. Пожалуйста, запустите игру в Steam и проверьте подключение к Интернету."
"TID_CONNECTION_ERROR_OUT_OF_SYNC","Критическая ошибка синхронизации. Требуется перезапуск игры."
"TID_CONNECTION_ERROR_MAINTENANCE","Серверы на техническом обслуживании. Повторите попытку через несколько минут."
"TID_CONNECTION_LOST_INACTIVITY","Вы отключены от сервера из-за бездействия."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","Через несколько минут сервер будет отключен на техническое обслуживание."
"TID_LABEL_SERVER_MAINTENANCE","До начала техобслуживания сервера:\n{0}"
"TID_MAINTENANCE_TITLE","ТЕХОБСЛУЖИВАНИЕ"
"TID_MAINTENANCE_INFO","Мы регулярно проводим техническое обслуживание сервера, чтобы сделать игру лучше.\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Дополнительная информация</a>"
"TID_ASTEROID_FIELD","Поле астероидов"
"TID_COLONIZATION_STARTING","Начинаем колонизацию: {0}"
"TID_DISBAND_FLEET_CONFIRM","Вы точно хотите навсегда уничтожить этот корабль? Так вы увеличите размер флота."
"TID_STATUS_UPGRADING","Улучшение..."
"TID_STATUS_COLONIZING","Колонизация..."
"TID_DISTANCE","{0} АЕ"
"TID_CONFIRM_DLG_TITLE","ПОДТВЕРДИТЬ"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Ошибка загрузки звездной системы"
"TID_MSG_QUIT_GAME","Вы точно хотите выйти из игры?"
"TID_CMD_FAILED_TUTORIAL","На данном этапе обучения это действие недоступно"
"TID_MSG_CANNOT_JUMP_SHIP","Прыжок не выполнен"
"TID_SHARE_MESSAGE_LABEL","НАПИСАТЬ"
"TID_SHARE_BUTTON_SUBMIT","ОТПРАВИТЬ"
"TID_SHARE_BUTTON_CANCEL","ОТМЕНА"
"TID_SHARE_VIEW_DEFAULT_MSG","Посмотри!"
"TID_SHARE_VIEW_DESCR","Выберите вид в этой звездной системе и поделитесь им со своей корпорацией"
"TID_BACK_BUTTON","Назад"
"TID_FINISH_REPAIR_CONFIRM","Завершить ремонт этого корабля?"
"TID_PLAYER_JOIN_RED_STAR","{0} тоже осваивает эту красную звезду"
"TID_MAINTENANCE_MESSAGE","Приносим извинения за сбой в работе сервера. В качестве компенсации мы добавили на вашу учетную запись кристаллы ({0} шт.). Благодарим за терпение!\n\n- Команда Hades' Star"
"TID_FEATURE_DISABLED","Данная возможность временно отключена"
"TID_PERSONAL_DATA_PREF","Управление личными данными"
"TID_KEYBOARD_SHORTCUT","Горячая клавиша: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Чтобы построить эту станцию, вам необходимо расширить звездную систему"
"TID_CMD_FAILED_GENERIC","Команда не отдана"
"TID_CMD_FAILED_PLAYER","Команда игрока не отдана"
"TID_CMD_FAILED_SS","Команда звездной системы не отдана"
"TID_CMD_FAILED_RESOURCE_LIMIT","Мало места на складе. Улучшайте планеты, чтобы увеличить склад."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Сервер занят. Подождите немного и повторите попытку."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Эта красная звезда не может принять такое количество линкоров"
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Нельзя использовать эти прыжковые врата"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Для размещения этого груза не хватает места"
"TID_NOT_ENOUGH_CRYSTALS","Мало кристаллов"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Нельзя отправлять корабли за пределы зоны видимости"
"TID_CMD_ROUTE_EMPTY_SECTOR","Нельзя летать по неисследованному космосу"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Нельзя продвинуться вглубь этой звездной системы"
