"TID_INTRO_MESSAGE_TITLE","欢迎来到HADES' STAR"
"TID_INTRO_MESSAGE","为了运营游戏，为您提供个人化的支持，我们会收集设备及其他必要的数据。欲了解详情，请参阅我们的<a name={0}>《隐私政策》</a>。\n\n您必须至少为13岁方可进行游戏。\n\n点击“确认”接受我们的《服务条款》。\n\n<a name={1}>查看《服务条款》</a>"
"TID_INTRO_MSG_ACCEPT","接受"
"TID_DAY_ABBREVIATION","日"
"TID_HOUR_ABBREVIATION","时"
"TID_MINUTE_ABBREVIATION","分"
"TID_SECOND_ABBREVIATION","秒"
"TID_LOADINGSCREEN_LOADING_PLAYER","正在获取账户……"
"TID_LOADINGSCREEN_LOADING_STAR","正在获取恒星系统……"
"TID_LOADINGSCREEN_LOADING_STAR_CLIENT","正在加载恒星系统……"
"TID_SWITCH_TO_CONNECTED_ACCOUNT","您是否希望切换至您已连接的账户？（<color>{0}</color>，等级<color>{1}</color>）。当前游戏进度将会丢失。"
"TID_CORP_LEADER_DESCR","首席干事"
"TID_CORP_COLEADER_DESCR","干事"
"TID_CORP_ELDER_DESCR","高级成员"
"TID_CORP_MEMBER_DESCR","成员"
"TID_YOUR_EMPIRE","您的帝国"
"TID_OK","确认"
"TID_RETRY","重试"
"TID_RECONNECT","重新连接"
"TID_CANCEL","取消"
"TID_CONNECTION_ERROR","连接错误"
"TID_CONNECTION_ERROR_REASON_NO_INTERNET","无法连接到服务器。请检查您的网络连接并重试。"
"TID_CONNECTION_ERROR_UNKNOWN_ACCOUNT","无法读取您的账户。请联系游戏客服。"
"TID_CONNECTION_ERROR_OLD_VERSION","游戏有新版本可用！立刻下载以享受最新的功能。"
"TID_IOS_UPDATE_HINT","重要提示：如果您在应用商店内看不到新版本，请移步更新选项卡，然后向下滑动几次，手动刷新更新列表。"
"TID_CONNECTION_ERROR_NEW_VERSION","版本不正确"
"TID_CONNECTION_ERROR_OLD_VERSION_DOWNLOAD_LINK","下载最新版本"
"TID_CONNECTION_ERROR_OLD_VERSION_STEAM","Steam应很快将《Hades' Star》自动更新至最新版本。如果您总是收到此信息，请检查游戏更新设置，并重新启动Steam。"
"TID_CONNECTION_ERROR_SERVER_ERROR","内部服务器错误。请稍候再试一次。"
"TID_CONNECTION_ERROR_ACCOUNT_BANNED","您的账户已被禁用。"
"TID_CONNECTION_ERROR_LOGGED_IN_ELSEWHERE","您已在另一台设备上登入。"
