Name,TID,TID_Description,TID_HINT,TutorialIdx,Weight,GroupId,GoalType,AppearsOnceOnly,TimeLimitDays,TimeLimitHr,TimeLimitMin,ModuleReq,MinRSLevel,MaxRSLevel,MinPlayerLevel,MaxPlayerLevel,MinInfluence,MaxInfluence,GoalTarget,IntParam,StringParam,XPReward,CRRewardPerDay,FuelRewardPerDay,CrystalReward
TUT_ExpandSector,TID_TUT_REVEAL_SECTOR,TID_TUT_REVEAL_SECTOR_INFO,,2,,,Tut_ExpandToNewSector,,,0,,,,,,,,,,,,,3500,100,
TUT_DoShipments,TID_OBJ_DELIVER_SHIPMENTS,TID_OBJ_DELIVER_SHIPMENTS_DESCR,,1,,,Tut_DoShipments,,,0,,,,,,,,,5,,,,2000,100,
TUT_DoRedStar,TID_OBJECTIVE_RS_TITLE,TID_OBJECTIVE_RS_MSG,,3,,,Tut_DoRedStar,,,0,,,,,,,,,,,,,4000,250,
TUT_DoResearch,TID_OBJECTIVE_DO_RESEARCH,TID_OBJECTIVE_DO_RESEARCH_DESCR,,4,,,Tut_DoResearch,,,0,,,,,,,,,,,,,1500,100,
TUT_InstallModule,TID_OBJECTIVE_DO_INSTALL_MODULE,TID_OBJECTIVE_DO_INSTALL_MODULE_DESCR,,5,,,Tut_DoInstallModule,,,0,,,,,,,,,2,0,,,2500,100,
PT_UpgradeShipyard,TID_TUT_UPGRADE_SHIPYARD,TID_TUT_UPGRADE_SHIPYARD_DESCR,TID_OBJECTIVE_UPGRADE_SHIPYARD_HINT,,10000,11,UpgradeBuilding,1,,0,1,,,,,,,,2,,Shipyard,40,2000,0,
PT_UpgradePlanets,TID_PT_UPGRADE_PLANETS,TID_PT_UPGRADE_PLANETS_DESCR,TID_PT_UPGRADE_PLANETS_HINT,,10001,20,UpgradeAllPlanets,1,,0,3,,,,,,,,5,3,,40,1500,100,
PT_EarnShipmentCredits,TID_OBJ_EARN_CREDITS,TID_OBJ_EARN_CREDITS_DESCR,TID_OBJ_SHIPMENTS_HINT,,10002,8,EarnShipmentCredits,1,,0,5,,,,,9,,,500,,,40,1000,200,
PT_FillResearchStation,TID_PT_FILL_RESEARCH,TID_PT_FILL_RESEARCH_DESCR,TID_PT_FILL_RESEARCH_HINT,,10003,12,FillResearchStation,1,,0,10,,,,,9,,,,,,40,2000,200,
PT_InstallBattery,TID_OBJ_INSTALL_MODULE,TID_OBJ_INSTALL_MODULE_DESCR,TID_OBJ_INSTALL_MODULE_HINT,,10005,15,Tut_DoInstallModule,1,,0,15,,,,,9,,,1,13,,40,1000,100,
